doc	word	corpus_value	gorila_value	in_fullD	note	status
HT9a	KU-RO	127/4	156/5	True	сайт 31 3/4 (тихая правка) против GORILA 31 1/5	CANDIDATE (ждёт апстрима Хогана)
HT13	RE-ZA	11/2	None	False	сайт 5 1/2 против GORILA 5[]J — лакуна, значение неопределимо	CANDIDATE (ждёт апстрима Хогана)
HT119	VIR+[?]	67	68	False	сайт 67 против GORILA 68	CANDIDATE (ждёт апстрима Хогана)
HT27a	KU-RO	335	355	False	сайт 335 против GORILA 355	CANDIDATE (ждёт апстрима Хогана)
HT123a	SA-RU (дробь)	None	None	True	кодировка A701 против A711-X по прорисовке (Montecchi 2019)	CANDIDATE (ждёт апстрима Хогана)
