word	n_tokens	n_docs	sites	top_series	damaged_share
pu-na-si-jo	4	4	KN:3,KH:1	Ga:2,Bk:1,Ar:1	0.75
ma-sa	4	4	KN:4	Ga:2,Dq:1,Np:1	0.75
qo-ta	4	4	KN:2,PY:2	V-:1,Dl:1,Jn:1	0.75
i-wa-ka	4	4	KN:2,PY:2	V-:1,Uf:1,Jn:1	0.00
ka-pa-ri-jo	4	4	KN:4	V-:2,Vc:1,U-:1	0.50
me-nu-wa	4	4	KN:3,PY:1	V-:1,Sc:1,Xd:1	0.50
a-ka-i-jo	4	4	KN:4	Vd:1,Vc:1,F-:1	0.50
a-ka-to	4	4	KN:3,TH:1	Xd:1,Sc:1,Dv:1	0.50
to-ro-wo	4	4	PY:2,KN:1,TH:1	Ag:1,An:1,Vn:1	0.50
te-wa-jo	4	4	KN:3,PY:1	Ce:1,Uf:1,Dl:1	0.25
ke-ti-ro	4	4	KN:3,PY:1	U-:1,Da:1,Vc:1	0.00
da-wi-ja	4	4	KN:4	Og:1,Le:1,Ak:1	0.25
ka-ro-qo	4	4	KN:2,PY:1,MY:1	Sc:2,Vn:1,Au:1	0.25
o-u-te-mi	4	1	KN:4	V-:4	0.00
a-ke	4	3	PY:2,KN:1,MY:1	Tn:2,Xd:1,Ue:1	0.50
ku-do	4	4	KN:4	Bo:2,Fh:1,Df:1	0.75
do-ke	4	4	KN:4	Ws:2,X-:1,Od:1	0.50
ku-ta-ti-jo	4	3	KN:4	Ga:3,X-:1	1.00
da-wi-jo	4	4	KN:4	Ga:1,M-:1,Am:1	0.25
te-ra-po-si-jo	4	4	KN:4	X-:1,Db:1,Da:1	0.50
pu-ri	4	4	KN:4	F-:1,V-:1,Bk:1	0.00
qe-ro	4	4	KN:4	V-:1,As:1,Db:1	0.50
su-ko	4	4	KN:2,PY:2	V-:1,X-:1,Eb:1	0.75
pi	4	4	KN:3,PY:1	L-:2,Se:1,Na:1	1.00
sa-mu-ta-jo	4	4	PY:2,KN:1,MY:1	L-:1,Jn:1,Vn:1	0.25
e-ra-ja	4	4	KN:4	Lc:2,Ap:1,D-:1	0.25
da-te-we-ja	4	4	KN:4	Lc:1,L-:1,Ak:1	0.50
qa-mi-ja	4	4	KN:4	Lc:1,Ak:1,Le:1	0.00
pe-ne-we-ta	4	4	KN:4	Ld:2,L-:2	0.25
ra-wo	4	4	KN:4	L-:1,Le:1,Dv:1	1.00
e-ru-ta-ra-pi	4	3	KN:4	Ld:4	0.50
e-ni-qe	4	4	KN:4	L-:4	0.50
e-te	4	4	KN:3,PY:1	Am:2,X-:1,Va:1	0.50
au-ri-jo	4	4	KN:3,TH:1	Da:2,As:1,Ug:1	0.50
a-ra-ko	4	4	KN:4	As:1,C-:1,Db:1	0.00
ta-ta-ro	4	4	PY:3,KN:1	As:1,Eb:1,Eo:1	0.25
a3	4	4	KN:4	As:1,Dk:1,Cf:1	0.75
wo-di-je-ja	4	4	PY:2,KN:1,MY:1	Ap:1,Ub:1,Vn:1	0.00
a-mi-ni-si-ja	4	4	KN:4	Le:1,E-:1,Ai:1	0.50
ta-de-so	4	4	KN:3,TH:1	V-:1,Df:1,De:1	0.00
a-ze-ti-ri-ja	4	4	KN:4	Od:2,Ap:1,E-:1	0.75
o-nu	4	4	KN:4	Od:2,Ld:2	0.75
o-nu-ke	4	4	KN:4	Od:2,Ln:1,Ws:1	0.50
i-jo-te	4	4	KN:2,PY:1,MY:1	L-:1,B-:1,An:1	0.75
e-re-u-ti-ja	4	4	KN:4	Od:3,Gg:1	0.25
di-da-ka-re	4	3	KN:4	Ak:4	1.00
u-ra-jo	4	4	KN:4	Db:3,Bk:1	0.25
ke-re	4	4	KN:4	Bk:3,As:1	0.50
ra-jo	4	4	KN:4	Am:1,Og:1,Bk:1	1.00
qi-ri-ja-to	4	4	KN:4	B-:2,Ai:2	0.75
e-re-ta	4	4	PY:3,KN:1	An:3,C-:1	0.25
a-ko-ra-jo	4	4	KN:2,TH:2	Wu:2,Co:1,As:1	0.00
pa-te	4	3	KN:2,PY:2	An:2,Ra:1,B-:1	0.25
pa-qo-si-jo	4	4	PY:3,KN:1	Jn:2,B-:1,Mn:1	0.00
ke-to	4	4	KN:3,PY:1	Da:3,Cn:1	0.00
di-ro	4	4	KN:4	Da:2,Db:1,De:1	0.00
pu-to-ro	4	3	KN:2,PY:2	Vn:2,Da:1,As:1	0.25
qa-na-no-to	4	4	KN:4	Dv:2,Da:1,Db:1	0.50
ma-ri-ti-wi-jo	4	4	PY:2,KN:1,MY:1	Da:1,An:1,Cn:1	0.25
qo-te-ro	4	4	KN:2,PY:2	Da:1,As:1,Ae:1	0.25
to-ko	4	1	KN:4	As:4	0.75
a-ra-ru-wo-a	4	4	KN:4	Ra:4	0.50
ta-to-mo	4	4	PY:3,KN:1	Cn:2,Ws:1,Vn:1	0.00
ka-ka	4	4	KH:2,KN:1,TH:1	Z-:2,R-:1,Of:1	0.75
a-ra-ru-ja	4	4	KN:4	Sd:4	0.50
a-ni-ja-pi	4	4	KN:4	Sd:4	0.75
i-qo-e-qe	4	4	KN:4	Sd:4	1.00
wi-ri-ne-o	4	4	KN:4	Sd:3,Sf:1	0.50
de-do-me-na	4	4	KN:4	So:3,Ud:1	0.50
pe-ru-si-nwa	4	3	MY:3,KN:1	Ue:2,So:1,Oe:1	0.50
e-ke-me-de	4	4	PY:3,KN:1	U-:1,An:1,Jo:1	0.25
si-jo	4	4	KN:4	Sc:2,X-:1,Gm:1	1.00
re-u	4	4	KN:2,PY:2	X-:2,Eb:1,Jn:1	1.00
o-pa-wo-ta	4	4	KN:3,PY:1	Sk:3,Sh:1	0.25
ku-no	4	4	TH:3,KN:1	Fq:2,Uf:1,Gp:1	0.50
ma-ra	4	3	KN:2,PY:2	Cn:2,Vc:1,Sc:1	0.50
ne-ja	4	4	KN:2,PY:1,MY:1	Lc:1,X-:1,Mb:1	1.00
po-to-ro-wa-pi	4	4	PY:4	Aa:1,Ad:1,La:1	0.25
e-ke-ro-qo-no	4	4	PY:4	Ab:2,Aa:1,An:1	0.50
a-te-re-wi-ja	4	4	PY:4	Aa:1,An:1,Cn:1	0.00
ne-wo-pe-o	4	4	PY:4	Aa:1,Ab:1,Ad:1	0.00
pe-re-ke-we	4	4	PY:2,TH:1,MY:1	Ae:2,Oh:1,Oe:1	0.25
pu-ka-wo	4	3	PY:4	An:4	0.25
me-ri-du-ma-te	4	4	PY:4	An:4	0.00
a-to-po-qo	4	4	PY:3,MY:1	An:2,Fn:1,Au:1	0.25
a-ke-o	4	4	PY:4	Mb:2,An:1,Cc:1	0.50
i-na-o	4	4	PY:2,MY:2	An:2,Ge:2	0.25
o-two-we-o	4	1	PY:4	An:4	0.00
o-ka-ra3	4	4	PY:4	An:3,Cn:1	0.00
i-wa-so	4	4	PY:4	An:3,Cn:1	0.00
e-re-e	4	3	PY:4	An:2,Jo:1,Xn:1	0.25
au-ke-i-ja-te-we	4	2	PY:4	Ub:3,An:1	0.00
we-to	4	2	PY:4	Aq:3,Ma:1	0.00
we-re-ke	4	4	PY:4	Cn:4	0.50
a-ka-ma-wo	4	4	PY:4	Cn:2,Jn:2	0.25
se-no	4	4	PY:4	Cn:2,Es:2	0.25
ka-ra-u-ko	4	4	PY:3,MY:1	Jn:2,Cn:1,Z-:1	0.50
a-we-ke-se-u	4	3	PY:4	Cn:3,Jn:1	0.00
ko-tu-ro2	4	4	PY:3,TH:1	Cn:1,Eb:1,Jn:1	0.50
a2-pa-tu-wo-te	4	1	PY:4	Cn:4	0.00
o-re-e-wo	4	1	PY:4	Cn:4	0.00
pe-to-no	4	4	PY:4	Cn:1,Jn:1,Ma:1	0.00
a-ke-ro	4	4	PY:4	Cn:1,Ea:1,Jo:1	0.00
ta-ra-ma-ta	4	4	PY:4	Ea:3,Vn:1	0.25
po-me-ne	4	4	PY:4	Ea:3,Nn:1	0.25
ke-ke-me-na-o	4	4	PY:4	Eb:2,Ed:1,Ep:1	0.00
ka-pa-ti-ja	4	4	PY:4	Ep:2,Eb:1,Un:1	0.75
ko-ri-si-ja	4	3	PY:4	En:2,Eb:1,Eo:1	0.00
a-da-ma-o	4	4	PY:4	Eb:1,Eo:1,Ep:1	0.00
ra-su-ro	4	4	PY:4	Eb:1,En:1,Eo:1	0.00
e-do-mo-ne-u	4	4	PY:4	Jn:2,En:1,Eo:1	0.25
ke-sa-da-ra	4	4	PY:4	Ab:1,Fg:1,Mb:1	0.50
wo-do-we	4	4	PY:4	Fr:4	0.25
qe-te-jo	4	4	PY:2,TH:2	Fr:2,Gp:2	0.25
a3-so-ni-jo	4	4	PY:2,MY:1,MI:1	Jn:2,Ui:1,Wv:1	0.25
qa-si-re-u	4	4	PY:4	Jn:3,Jo:1	0.25
a-e-ri-qo	4	3	TH:3,PY:1	Wu:3,Jn:1	0.00
pe-ru-si-nu-wo	4	4	PY:4	Ma:4	0.00
a-pi-no-e-wi-jo	4	3	PY:4	Vn:2,Mb:1,Nn:1	0.00
e-ma-a2	4	4	PY:3,TH:1	Na:1,Tn:1,Un:1	0.50
ke-re-si-jo	4	2	PY:4	Ta:4	0.00
ti-ri-po	4	2	PY:4	Ta:4	0.00
ra-e-ja	4	2	PY:4	Ta:4	0.00
to-no	4	3	PY:4	Ta:4	0.00
e-re-pa-te-ja-pi	4	3	PY:4	Ta:4	0.00
qe-qi-no-me-na	4	3	PY:4	Ta:4	0.00
o-te	4	4	TH:3,PY:1	Fq:3,Ta:1	0.00
i-je-to-qe	4	1	PY:4	Tn:4	0.00
di-pte-ra	4	1	PY:4	Ub:4	0.00
qe-te-a2	4	4	TH:3,PY:1	Wu:3,Un:1	0.00
a-ko-so-ne	4	4	PY:4	Va:2,Vn:2	0.25
ma-di-je	4	4	TH:4	Fq:2,Av:1,X-:1	0.25
a-me-ro	4	4	TH:4	Fq:3,Gf:1	0.25
i-qo-po-qo-i	4	4	TH:4	Fq:4	0.50
a-ra-o	4	4	TH:4	Gp:3,Fq:1	0.50
a-pu-wa	4	4	TH:4	Fq:4	0.00
te-qa-de	4	4	TH:3,MY:1	Wu:3,X-:1	0.25
ke-po	4	4	MY:4	Ge:3,Ui:1	0.00
ku-ru-zo	4	4	TH:4	Z-:4	0.00
da-da-re-jo-de	3	3	KN:3	Fp:2,X-:1	0.33
a-mi-ni-so-de	3	3	KN:3	Fp:2,Ga:1	0.33
wo-de-wi-jo	3	3	KN:3	Fp:2,V-:1	0.00
e-me-si-jo-jo	3	3	KN:3	X-:1,Lc:1,E-:1	0.67
pi-ra-me-no	3	3	KN:1,PY:1,TH:1	E-:1,Jn:1,Fq:1	0.33
pe-re-qo-ta	3	3	PY:2,KN:1	Ce:1,An:1,En:1	0.33
ro-ru	3	2	KN:3	Ce:2,Fh:1	0.67
e-u-da-mo	3	3	KN:2,TH:1	V-:1,Bk:1,Z-:1	0.00
ti-jo	3	3	KN:3	V-:1,Da:1,Dv:1	1.00
a-ke-u	3	3	KN:3	V-:1,Dv:1,De:1	0.33
re-u-ka-ta	3	3	PY:2,KN:1	Jn:2,Ce:1	0.00
di-ka	3	3	KN:3	Xd:1,Sc:1,Ai:1	1.00
ke-re-u	3	3	PY:2,KN:1	Ea:2,Ag:1	0.00
qe-da-do-ro	3	3	KN:2,TH:1	Uf:1,De:1,Gp:1	0.33
pa-na-so	3	3	KN:3	Uf:1,E-:1,X-:1	0.00
o-ko-te	3	3	KN:3	Vc:2,Vd:1	0.33
i-ne-u	3	3	KN:3	Xd:1,As:1,Da:1	0.67
na-e-si-jo	3	3	KN:1,PY:1,TH:1	V-:1,Jn:1,Av:1	0.33
ta-pa-no	3	3	KN:3	F-:1,Sc:1,X-:1	0.67
pe-ri-to-wo	3	3	KN:3	Vc:1,V-:1,X-:1	0.67
pa-pa-ro	3	3	KN:2,PY:1	Vc:1,Sc:1,Cn:1	0.00
ku-ru-me-no	3	3	KN:1,PY:1,TH:1	Sc:1,Aq:1,Of:1	0.00
a-ko-to	3	3	KN:3	Sc:3	0.67
pa-re	3	3	KN:3	Sc:2,Dl:1	0.33
pa-wa-wo	3	3	PY:2,KN:1	Sc:1,Cn:1,Vn:1	0.33
ku-ne	3	3	KN:1,TH:1,MY:1	Sc:1,Fq:1,Fu:1	0.33
e-po	3	3	KN:2,PY:1	Ce:1,Ws:1,Vn:1	0.33
a-mi-ni-si-jo	3	3	KN:3	Vc:1,Am:1,Xg:1	0.33
pa-no	3	3	KN:3	Xd:1,Bk:1,X-:1	1.00
du-ru-po	3	3	KN:3	Fh:2,As:1	0.00
a3-ki-pa-ta	3	3	PY:2,KN:1	Ae:2,Fh:1	0.00
to-ro-qa	3	3	KN:3	Fh:3	0.33
ki-ri-te-wi-ja	3	3	PY:2,KN:1	Fp:1,Eb:1,Ep:1	0.33
a-ra-si-jo	3	3	KN:3	Fh:1,Df:1,X-:1	0.00
ta-u-na-so	3	3	KN:3	Ga:1,De:1,Db:1	0.00
da-wa-no	3	3	KN:3	Ga:1,As:1,Mc:1	0.33
ka-mo	3	3	KN:3	Dq:1,As:1,Db:1	0.67
ni-to	3	3	KN:3	Dq:1,D-:1,Ch:1	1.00
zo	3	3	KN:3	X-:1,Xe:1,Nc:1	1.00
si-ja	3	3	KN:3	Fh:1,L-:1,Xe:1	1.00
e-to-wo-ko	3	3	PY:2,KN:1	Fh:1,An:1,Fn:1	0.00
ku-pa-ro	3	3	KN:3	Ga:3	0.33
i-se-we-ri-jo	3	3	KN:3	L-:1,B-:1,Dd:1	0.00
di-zo	3	3	KN:3	V-:1,As:1,Vs:1	0.00
e-u-ko-ro	3	3	KN:3	V-:1,Dd:1,Da:1	0.00
a-nu-mo	3	3	KN:3	V-:1,De:1,Da:1	0.00
ta-za-ro	3	3	KN:3	V-:1,Ch:1,Db:1	0.00
to-u-ka	3	3	KN:3	Lc:3	1.00
ti-ri	3	3	KN:3	X-:1,Ld:1,Xd:1	1.00
ri-jo-ni-ja	3	3	KN:3	Lc:1,Ak:1,Le:1	0.33
pe-ko-to	3	3	KN:3	L-:2,Lc:1	0.67
ne-we-wi-ja	3	3	PY:2,KN:1	Lc:1,Aa:1,Ab:1	0.33
e-pi-qe	3	3	PY:2,KN:1	Lc:1,Eb:1,Ep:1	0.00
te-jo	3	3	KN:3	L-:1,Dv:1,X-:1	0.67
ke-se-nu-wi-ja	3	3	KN:3	Ld:3	0.67
po-ki-ro-nu-ka	3	3	KN:3	Ld:3	0.33
ko-u-re-ja	3	3	KN:3	Lc:1,Ak:1,Ap:1	0.33
ko-ro-ta2	3	3	KN:3	Ld:3	0.33
ri-ta	3	3	KN:3	L-:3	1.00
e-qe-si-jo	3	3	PY:2,KN:1	Lc:1,Ed:1,Sa:1	0.33
do-ti-jo	3	3	KN:3	Vs:1,Bo:1,Dk:1	0.67
ku-ka-ro	3	3	KN:3	Vs:1,Da:1,Ra:1	0.33
o-na-jo	3	3	KN:2,PY:1	E-:1,Dd:1,Jn:1	0.67
o-ne	3	3	KN:3	Gg:3	1.00
na-u-do-mo	3	3	PY:2,KN:1	U-:1,Na:1,Vn:1	0.33
u-ta-ni-jo	3	3	KN:3	E-:1,B-:1,X-:1	0.67
pu-si-jo	3	3	KN:3	E-:1,Og:1,Bg:1	0.00
re-ja	3	3	KN:3	L-:2,Ai:1	1.00
pa-we-a2	3	3	MY:2,KN:1	Ld:1,L-:1,Oe:1	0.00
o-ku	3	3	KN:3	Dl:1,Da:1,As:1	0.67
ka-ta-no	3	3	PY:2,KN:1	X-:1,Eb:1,Ep:1	0.33
o-pe	3	3	KN:3	Bk:1,X-:1,Nc:1	1.00
a-pe-o-te	3	3	KN:2,PY:1	Bg:1,B-:1,An:1	0.33
ko-pe-re-u	3	3	PY:2,KN:1	Es:2,Am:1	0.00
si-ra-ko	3	3	KN:3	B-:1,Ai:1,Db:1	0.00
ru-ro	3	3	PY:2,KN:1	V-:1,Aq:1,Jo:1	0.00
su-za	3	3	KN:3	Gv:2,F-:1	0.67
di-wo	3	3	KN:2,PY:1	E-:1,Dv:1,An:1	0.33
te-o-i	3	3	PY:2,KN:1	Fr:2,E-:1	0.33
i-da-i-jo	3	3	KN:1,PY:1,TH:1	K-:1,An:1,Of:1	0.33
a-na-to	3	3	KN:3	Sf:2,Sg:1	0.33
po-ro	3	2	KN:3	Ca:2,Dd:1	0.33
a-ko-ra-ja	3	3	KN:3	Co:3	0.00
pu-wo	3	3	KN:2,MY:1	C-:1,As:1,Ge:1	0.00
wa-du-na-ro	3	3	KN:3	C-:1,Dc:1,Db:1	0.00
te-re	3	3	PY:2,KN:1	C-:1,Mm:1,Xa:1	1.00
ko-ma-we-te	3	3	KN:2,PY:1	Cf:1,Dk:1,Cn:1	0.33
a-pi-qo-ta	3	3	KN:2,PY:1	Cf:2,Jn:1	0.00
da	3	3	KN:3	Dk:1,Mc:1,Dv:1	0.67
nu-ka	3	3	KN:3	Dl:1,Ld:1,L-:1	1.00
ma-ri	3	3	KN:3	Dl:2,Ga:1	0.33
pe-ri-te-u	3	3	KN:2,PY:1	C-:1,Bk:1,An:1	0.33
ka-ta	3	2	PY:2,KN:1	An:2,Vs:1	1.00
e-pi-zo-ta	3	2	HV:2,KN:1	Rb:2,Ra:1	1.00
pu	3	3	KN:2,PY:1	Uf:2,An:1	1.00
i-ra-ta	3	3	PY:2,KN:1	Uf:1,En:1,Eo:1	0.33
du-ma	3	3	KN:2,PY:1	Cg:2,An:1	0.33
wi	3	3	KN:3	E-:1,Se:1,X-:1	0.67
a-ko-mo-ni-jo	3	3	KN:3	De:2,Dk:1	0.00
a-wa-so	3	3	KN:3	Db:2,Mc:1	0.00
si-ta-ro	3	3	KN:3	De:1,Dg:1,X-:1	0.33
e-u-na-wo	3	3	KN:3	Dv:1,As:1,Np:1	0.67
ra-so	3	3	KN:2,PY:1	Db:1,X-:1,Ep:1	1.00
do-ti	3	3	KN:3	Da:1,Xe:1,X-:1	1.00
e-to	3	3	KN:2,PY:1	Dh:1,Xe:1,Va:1	0.67
ru	3	3	KN:2,KH:1	Dg:1,Dv:1,Z-:1	0.67
ne-u	3	3	KN:2,PY:1	Da:1,Vc:1,Jn:1	1.00
ti-ja	3	3	KN:2,VO:1	Dg:1,Vf:1,X-:1	0.67
a-te-mo	3	3	KN:3	Dc:1,As:1,De:1	0.00
wo-ne-we	3	3	PY:2,KN:1	Cn:2,Ga:1	0.67
ki-ta-no	3	3	KN:3	Ga:3	0.67
do-ro	3	3	KN:2,PY:1	Dv:1,X-:1,Wa:1	1.00
a3-ko-ta	3	3	PY:2,KN:1	As:1,An:1,Aq:1	0.00
o-pi-si-jo	3	3	KN:2,PY:1	As:2,Jn:1	0.33
ti-qa-jo	3	3	PY:2,KN:1	As:1,Eo:1,Jn:1	0.00
wi-jo	3	3	KN:2,PY:1	As:1,Ra:1,Mb:1	1.00
a-nu	3	2	KN:3	Vs:2,U-:1	1.00
ka-si-ko-no	3	3	KN:2,PY:1	Ra:2,An:1	0.67
me-sa-to	3	3	KN:3	Wm:3	0.33
te-u	3	3	KN:2,PY:1	X-:2,An:1	1.00
wi-ri-za	3	3	KN:2,PY:1	Od:2,Un:1	0.67
pte-no	3	3	KN:3	Sd:3	0.33
mi-to-we-sa	3	3	KN:3	Sd:3	0.33
u-po	3	2	PY:2,KN:1	Ub:2,Sd:1	0.33
wo-ti-jo	3	3	PY:2,KN:1	Dv:1,An:1,Jn:1	0.33
wa-ja	3	3	KN:2,PY:1	L-:1,X-:1,An:1	1.00
si	3	3	KN:2,PY:1	Ap:1,L-:1,Na:1	1.00
e-zo-wo	3	3	PY:2,KN:1	Cn:2,Xe:1	0.67
qo	3	3	KN:3	Sc:1,Xd:1,X-:1	1.00
e-qe	3	3	KN:2,TI:1	X-:1,Xd:1,Cb:1	0.67
a-ti	3	3	PY:2,KN:1	Xd:1,Fn:1,Vn:1	1.00
ke-ke-me	3	3	KN:1,PY:1,TI:1	Sc:1,Ea:1,Ef:1	0.67
te-we	3	3	KN:3	X-:1,V-:1,Nc:1	1.00
ko-ru	3	3	TH:2,KN:1	Fq:2,Sk:1	0.00
ku-ri-sa-to	3	3	PY:2,KN:1	Xg:1,Cn:1,Jn:1	0.33
pe-re-ta	3	3	PY:2,KN:1	Jn:2,Vf:1	0.33
pa-ke-te-ja	3	3	PY:3	Ab:2,Aa:1	0.00
e-u-de-we-ro	3	3	PY:3	Aa:1,Ab:1,Ad:1	0.00
o-pi-ro-qo	3	3	PY:3	Aa:1,Ab:1,Ad:1	0.00
re-wo-to-ro-ko-wo	3	3	PY:3	Aa:1,Ab:1,Ad:1	0.00
mi-ra-ti-ja	3	3	PY:3	Aa:2,Ab:1	0.33
a-pi-qo-ro	3	3	PY:2,TH:1	Aa:1,Ad:1,Of:1	0.00
a-ke-ti-ra2	3	2	TH:2,PY:1	Of:2,Aa:1	0.33
o-wi-to-no	3	3	PY:3	Ab:1,Ad:1,An:1	0.00
e-re	3	3	PY:3	Na:2,Ad:1	1.00
i-na-ni-ja	3	3	PY:3	Ae:2,An:1	0.00
me-tu-ra	3	3	PY:3	Ae:3	0.00
su-ra-se	3	3	PY:3	Ae:3	0.33
po-ra-pi	3	3	PY:3	An:1,Mn:1,Nn:1	0.00
to-ko-do-mo	3	3	PY:3	An:2,Bn:1	0.33
o-pi-te-u-ke-e-we	3	3	PY:3	Fn:2,An:1	0.00
qa-ra2-te	3	3	PY:2,TH:1	An:1,Bn:1,Of:1	0.33
pu-ko-ro	3	3	PY:3	An:1,Fn:1,Jn:1	0.67
au-ke-wa	3	3	PY:3	An:1,Jo:1,Ta:1	0.00
a-e-ri-qo-ta	3	3	PY:3	An:3	0.00
ke-ki	3	3	PY:3	Jn:2,An:1	0.00
da-ko-ro	3	3	PY:3	An:3	0.00
ra-mi-ni-jo	3	3	PY:3	Cn:2,An:1	0.33
ki-ti-ta	3	2	PY:3	An:3	0.67
po-ki-ro-qo	3	3	PY:3	An:1,Aq:1,Jo:1	0.00
ne-wo-ki-to	3	2	PY:3	An:2,Aq:1	0.33
e-ri-ko-wo	3	3	PY:3	An:1,Ep:1,Jn:1	0.00
ma-ra-te-u	3	3	PY:3	An:1,Aq:1,Cn:1	0.33
e-re-e-we	3	3	PY:3	An:1,Cn:1,Jn:1	0.00
ra-wa-ke-ta	3	3	PY:3	Un:2,An:1	0.33
e-sa-re-wi-ja	3	3	PY:3	An:1,Ma:1,Vn:1	0.33
mi-jo-qa	3	2	PY:3	An:2,Fn:1	0.67
a-ke-re-se	3	1	PY:3	Aq:3	0.00
ti-mi-ti-ja	3	3	PY:3	Aq:1,Jo:1,Vn:1	0.00
to-to-we-to	3	1	PY:3	Aq:3	0.00
ne-qe-u	3	3	PY:3	Aq:1,Jn:1,Qa:1	0.00
a-ko-to-wo	3	3	PY:3	Cn:2,Jn:1	0.33
ra-ma-jo	3	3	PY:3	Jn:2,Cn:1	0.00
a-ka-na-jo	3	1	PY:3	Cn:3	0.00
i-ma-di-jo	3	3	PY:3	Cn:1,Ea:1,Jn:1	0.33
e-ra-te-re-wa-pi	3	3	PY:3	Cn:1,Jn:1,Vn:1	0.33
re-qa-se-wo	3	1	PY:3	Cn:3	0.00
ti-ri-da-ro	3	3	PY:3	Ea:3	0.00
e-ro2-qo	3	3	PY:3	Ea:3	0.00
e-ka-ra	3	2	PY:3	Ta:2,Ea:1	0.00
qo-qo-ta-o	3	3	PY:3	Ea:3	0.00
wo-ze	3	3	PY:3	Ep:2,Ea:1	0.67
ra-wa-ke-si-jo-jo	3	3	PY:3	Ea:3	0.00
e-u-me-ne	3	3	PY:3	Ea:2,Jn:1	0.33
e-u-me-de	3	3	PY:3	Ea:3	0.00
a-no-no	3	3	PY:3	Ea:1,Eb:1,Ep:1	0.00
ti-nwa-si-jo	3	3	PY:3	Ea:1,Fn:1,Jo:1	0.00
a-re-po-zo-o	3	3	PY:3	Ea:2,Fg:1	0.00
te-re-ja-e	3	3	PY:3	Eb:2,Ep:1	0.67
du-wo-u-pi	3	3	PY:3	Ep:2,Eb:1	0.33
ra-ku-ro	3	3	PY:3	Eb:1,Eo:1,Ep:1	0.00
te-te-re-u	3	3	PY:3	Eb:1,Ep:1,Jn:1	0.00
pe-ki-ta	3	2	PY:3	En:2,Eo:1	0.00
pi-ke-re-wo	3	2	PY:3	En:2,Eo:1	0.00
e-sa-ro	3	3	PY:3	En:1,Eo:1,Ep:1	0.00
po-so-re-ja	3	3	PY:3	En:1,Eo:1,Ep:1	0.33
pe-qo-ta	3	2	PY:3	Eo:2,En:1	0.33
a-ma-ru-ta	3	1	PY:3	Eo:3	0.33
ko-na	3	3	PY:1,TH:1,MY:1	Ep:1,X-:1,Ue:1	0.33
o-po-ro-me-no	3	3	PY:3	Es:3	0.00
a3-ki-wa-ro	3	3	PY:3	Es:3	0.00
ka-ra-i	3	3	PY:3	Es:3	0.33
pi-ro-ta-wo	3	3	PY:3	Es:3	0.00
ku-da-ma-ro	3	3	PY:3	Es:3	0.33
we-da-ne-we	3	3	PY:3	Es:3	0.00
do-e-ro-i	3	2	PY:3	Fn:3	0.67
a-ke-ti-ri-ja-i	3	3	PY:2,MY:1	Fn:1,Un:1,Fo:1	0.00
pi-ri	3	3	PY:2,TH:1	Fn:1,Ua:1,Gp:1	1.00
e-ti-we	3	3	PY:3	Fr:3	0.33
we-ja-re-pe	3	3	PY:3	Fr:3	0.67
we-a-re-pe	3	2	PY:3	Fr:3	0.33
pa-ki-ja-na-de	3	3	PY:3	Fr:2,Vn:1	0.33
di-pi-si-jo-i	3	3	PY:3	Fr:3	0.33
wa-na-se-wi-ja	3	2	PY:3	Ta:2,Fr:1	0.00
wa-na-so-i	3	3	PY:3	Fr:3	0.33
a-ro-pa	3	3	PY:3	Fr:3	0.33
mo-re-u	3	3	PY:3	Jn:3	0.33
po-so-ro	3	3	PY:3	Jn:3	0.00
ma-no-u-ro	3	3	PY:3	Jn:3	0.00
na-i-se-wi-jo	3	3	PY:3	Jn:2,Mn:1	0.00
pe-ru-si-nu-wa	3	3	PY:3	Ma:2,Ub:1	0.00
me-te-to	3	3	PY:3	Mn:1,Na:1,Vn:1	0.33
e-wi-te-wi-jo	3	3	PY:3	Mn:1,Na:1,Vn:1	0.00
e-re-u-te-ro	3	3	PY:3	Na:3	0.33
e-re-u-te-ro-se	3	3	PY:3	Na:3	0.33
pe-re-wo-te	3	2	PY:3	Xa:2,Na:1	0.33
no-pe-re-a2	3	3	PY:3	Sa:3	0.00
we-je-ke-a2	3	3	PY:3	Sa:3	0.00
to-qi-de	3	2	PY:3	Ta:3	0.00
o-pi-ke-re-mi-ni-ja-pi	3	2	PY:3	Ta:3	0.00
qe-ra-na	3	1	PY:3	Ta:3	0.00
ko-ki-re-ja	3	3	PY:3	Ta:3	0.00
e-ka-ma-pi	3	2	PY:3	Ta:3	0.00
e-ne-wo-pe-za	3	2	PY:3	Ta:3	0.00
e-re-pa-te-ja	3	2	PY:3	Ta:3	0.00
ku-ru-so-qe	3	1	PY:3	Ta:3	0.00
wa-o	3	3	PY:2,TH:1	Ta:1,Vn:1,Ug:1	0.67
ta-ra-nu-we	3	2	PY:3	Vn:2,Ta:1	0.33
do-ra-qe	3	1	PY:3	Tn:3	0.00
po-re-na-qe	3	1	PY:3	Tn:3	0.00
ko-ri-a2-da-na	3	2	MY:2,PY:1	Ge:2,Un:1	0.00
de-mi-ni-ja	3	3	PY:2,MY:1	Un:1,Vn:1,V-:1	0.33
ka-pi-ni-ja	3	1	PY:3	Vn:3	0.00
pa-ke-te-re	3	3	PY:2,MY:1	Vn:1,Wp:1,Ue:1	0.33
wa-do-ta	3	3	TH:3	Fq:3	0.67
mi-ra-ti-jo	3	3	TH:3	Fq:3	1.00
de-u-ke-we	3	3	TH:3	Fq:3	0.67
