word	n_tokens	n_docs	sites	top_series	damaged_share
ma	21	10	KN:16,PY:4,TH:1	U-:10,Jo:3,X-:2	0.86
e-ko-te	21	17	PY:20,KN:1	Jn:18,B-:1,Aq:1	0.14
a-pu-do-si	20	20	KN:15,PY:4,MY:1	Ga:7,Fh:3,Ma:3	0.50
u-ta-jo-jo	20	20	KN:20	Da:6,Dv:6,De:5	0.60
ki-ti-me-na	20	14	PY:20	En:9,Eo:7,Ea:4	0.10
tu-na-no	19	19	KN:19	Lc:17,Ln:1,Wb:1	0.42
a-ja-me-no	19	8	PY:18,KN:1	Ta:18,Sd:1	0.00
ka-ko	19	13	PY:19	Jn:18,Sa:1	0.21
we-we-si-jo-jo	18	18	KN:18	Db:5,De:4,X-:2	0.28
po-ro-ko-re-te	18	3	PY:17,KN:1	Jn:16,V-:1,Jo:1	0.00
i-je-re-ja	17	12	PY:16,KN:1	Ep:5,Eb:3,En:2	0.12
u-ta-no	17	16	KN:17	Dv:4,X-:3,Fp:1	0.82
e-ko-si	17	13	PY:16,KN:1	En:6,Na:5,Ed:2	0.18
ko-to-no-o-ko	17	11	PY:17	Eb:8,Ep:8,Eo:1	0.35
wo-ka	17	17	PY:17	Sa:17	0.00
pa-we-a	16	16	KN:16	Ld:7,Lc:6,L-:3	0.50
ra-ja	16	16	KN:16	Dl:3,Dd:2,Da:2	0.44
to-sa-de	16	13	PY:16	Na:11,Ng:2,Vn:2	0.38
me-no	15	15	KN:13,PY:2	Gg:3,Fp:2,M-:2	0.80
o-ka	15	10	PY:14,KN:1	An:10,Es:3,Sc:1	0.27
da-mi-ni-jo	15	15	KN:14,PY:1	Dk:4,Dc:3,Df:3	0.40
ku-pi-ri-jo	15	15	KN:13,PY:2	Fh:6,Ga:4,K-:1	0.07
e-qe-ta	15	9	PY:13,KN:2	An:12,Am:1,B-:1	0.13
pa-ra-jo	15	7	PY:15	Cn:12,An:1,Na:1	0.00
we-je-ke-e	15	15	PY:15	Sa:15	0.00
ka-na-ko	15	5	MY:15	Ge:15	0.47
pa-si-te-o-i	14	12	KN:14	Fp:11,Gg:2,Ga:1	0.14
ko-no	14	8	MY:7,KN:5,PY:1,MA:1	Ge:6,Ga:3,X-:2	0.36
a-ka	14	14	KN:13,PY:1	Da:9,V-:1,Vs:1	0.36
o-no	14	14	KN:8,PY:4,MY:2	Fh:4,Ca:2,An:2	0.36
te	14	14	KN:8,PY:4,TH:2	X-:3,As:2,Fh:1	0.93
po-ti-ni-ja	14	14	PY:9,KN:3,TH:1,MY:1	Fr:5,X-:1,Gg:1	0.43
ta-ra-nu	14	7	PY:12,KN:2	Ta:12,Vs:2	0.14
o-u-qe	14	9	KN:10,PY:4	Sd:10,Aq:2,Eb:1	0.14
e-re-pa-te-jo	14	8	PY:13,KN:1	Ta:13,Sd:1	0.00
i-qi-ja	14	14	KN:13,TH:1	Sf:8,Sd:5,V-:1	0.64
a-ta-o	14	4	PY:13,TH:1	An:11,Fn:1,Jn:1	0.43
a-ta-ra-si-jo	14	14	PY:14	Jn:14	0.36
o-u-di-do-si	14	12	PY:14	Ma:9,Na:5	0.21
me-ta-pa	13	13	PY:13	Aq:2,Cn:2,Vn:2	0.08
di-wi-je-we	13	13	PY:13	Es:12,Cn:1	0.00
po-se-da-o-ne	13	13	PY:13	Es:10,Fr:2,Un:1	0.08
se-to-i-ja	12	12	KN:12	As:2,X-:2,Lc:1	0.17
du-ni-jo	12	11	PY:9,KN:3	An:2,Ea:2,Ag:1	0.25
po	12	12	KN:10,TH:1,KH:1	Bo:4,L-:3,X-:3	0.58
e-ka-ra-e-we	12	12	KN:12	Dm:12	0.08
o-po-qo	12	12	KN:12	Sd:11,Sf:1	0.25
a-ke-re-wa	12	11	PY:12	An:4,Cn:2,Jn:2	0.17
a-si-ja-ti-ja	12	7	PY:12	Cn:8,Ae:1,Jn:1	0.17
pe-i	12	6	PY:12	An:11,Na:1	0.00
e-ru-ta-ra	12	9	MY:8,PY:4	Ge:8,Ub:2,An:1	0.33
a-mi-ni-so	11	10	KN:10,PY:1	V-:2,Lc:2,Fp:1	0.36
ra-pte-re	11	5	PY:9,KN:2	An:9,V-:1,Fh:1	0.55
