word	slots	n_tablets
ta-ki-ti-ta	N1	1
me-ta-ki-ti-ta	N1	1
e-wi-ri-po	N1	1
po-si-ke-te-re	N1	1
wo-qe-we	N1	1
wi-nu-ri-jo	N1	1
ma-ra-ne-nu-we	N1	1
po-ti-ja-ke-e	N1	1
za-ku-si-jo	N1	1
e-ke-ra2-wo-no	N1	1
ko-ni-jo	N5	1
we-re-ka-ra	N1b	1
te-qa-ta-qe	N1	1
po-ro-te-u	N4	1
re-pi-ri-jo	N4	1
a-de-me-we	N4	1
i-ja-te	N4	1
ku-do	N3	1
sa-ze-ro	N3	1
a-ki-re-u	N6	1
me-nu-wa	N5	1
wi-da-jo	N5	1
di-we-so	N5	1
o-ku-na-wo	N5	1
pe-ri-ta	N5	1
a-pi-ja-ko-ro-jo	N6	1
i-so	N3	1
pu-ke-se-ro	N1	1
re-qo-we	N1	1
qe-ta-ra-je-u	N1	1
du-re-u	N1	1
a-pa-je-u	N1	1
pa-pa-ra-ko	N1	1
ma-ta-ko	N5	1
ku-ke-re-u	N5	1
a-ti-ja-wo	N5	1
wa-ra-ko-no	N5	1
qe-re-me-ne-u	N5	1
e-qe	N1	1
po-to-ro-wa-pi	N1	1
pi-me-ta	N2	1
a-ri-wo-ne	N2	1
do-qo-no	N2	1
wo-ki-to	N2	1
o-we-to	N1b	1
e-ke-me-de	N3	1
pi-ri-je-te-re	N1	1
a-de-te-re	N1	1
ke-ra-me-we	N1	1
re-ka-ta-ne	N1b	1
wa-a2-te-we	N1b	1
a-nu-wa	N1b	1
ku-ru-so-wo-ko	N1	1
to-ko-so-wo-ko	N1	1
to-tu-no	N3	1
te-pe-ja-o	N1b	1
re-ma-ta	N2	1
o-nu-ke-ja	N1	1
e-qa-jo	N3	1
ki-je-u	N6	1
a-pi-ja-re	N6	1
a-pa-ni-jo	N3	1
po-ro-tu-qo-no	N6	1
a-ta-qe	N1	1
ka-nu-se-u	N1b	1
ta-to-qe	N1	1
e-we-de-u	N6	1
a-ri-qo	N1b	1
ra-wa-ra-ta	N1b	1
e-pa-re	N1	1
pe-ri-to-wo	N6	1
i-jo-qe	N1	1
ka-ri-se-u-qe	N1	1
e-u-po-ro-qe	N1	1
wa-a2-ta	N1b	1
de-u-ki-jo-qe	N1	1
o-ri-ko	N1	1
ru-na-so	N3	1
pe-re	N1	1
to-ko-so-ta	N6	1
pa-na	N3	1
ra-si-jo	N1	1
ta-ja-no	N3	1
ke-e	N1	1
mi-ka-to	N6	1
e-wa-ra-jo	N3	1
si-ra-no	N5	1
