word	slots	n_docs
pa-ki-ja-pi	N1b	1
pa-ki-ja-si	N1	1
pa-ko	N1b	1
pa-ku-ro2	N1	1
pa-na	N3	1
pa-na-re-jo	N1,N5,N6	2
pa-no	N1	1
pa-pa-jo	N5	1
pa-pa-ra-ko	N1	1
pa-pa-ro	N6	1
pa-pu-so	N1	1
pa-qo-si-jo	N5	2
pa-qo-si-jo-jo	N5	1
pa-qo-ta	N5	2
pa-ra-jo	N1	1
pa-ra-ko	N2,N4,N7	4
pa-ra-ne	N5,N6	1
pa-ra-to	N3	1
pa-re	N3	1
pa-sa-ko-me-no	N6	1
pa-ta	N2,N5,N6	2
pa-ta-u-na	N6	1
pa-te	N1	1
pa-ti	N1,N3	2
pa-u-ro	N3	1
pa-wi-no	N1	1
pa-wo-ke	N1	2
pa-za-ti	N3	1
pe	N1,N3	22
pe-ka-wo	N6	1
pe-ki-ti-ra2	N1	1
pe-ki-ti-ra2-o	N1b	1
pe-ko	N1b,N3	4
pe-mo	N7	56
pe-po-ro	N1,N3	2
pe-qe-u	N5	1
pe-qe-we	N2	1
pe-qo-no	N1	1
pe-qo-ta	N7	1
pe-re	N1	1
pe-re-ke-we	N1	2
pe-re-ko	N1	1
pe-re-qo-no	N5	1
pe-re-qo-no-jo	N5	1
pe-re-ta	N5	2
pe-re-wa-ta	N1,N6	2
pe-ri-no	N1	1
pe-ri-qo-ta	N1	1
pe-ri-qo-ta-o	N3	2
pe-ri-qo-te-jo	N3	2
pe-ri-te-u	N1	1
pe-ri-to	N6	1
pe-ri-to-wo	N6	1
pe-ro-qe	N1,N6	1
pe-ta-ro	N5	1
pe-te-ki-ja	N1	1
pe-te-u	N1,N6	1
pe-ti-ni-jo	N1	1
pe-to-no	N1,N1b	2
pe-we-ri-jo	N5	1
pi-ja-se-me	N1,N6	1
pi-ja-si-ro	N1	1
pi-ja-to	N1	1
pi-ke-re-u	N4	1
pi-ke-re-we	N2,N7	1
pi-ki-nu-wo	N3	1
pi-ma-na-ro	N5,N6	1
pi-me-ta	N2	1
pi-ra-me-no	N1	1
pi-ra-qo	N6	1
pi-ri-je-te-re	N1	1
pi-ri-no	N1	1
pi-ro-ka-te	N5	1
pi-ro-ne-ta	N5	1
pi-ro-qa-wo	N6	1
pi-ro-ta-wo	N4	1
pi-ro-te-ko-to	N4	1
pi-ro-we-ko	N5	1
pi-ru-te	N1b	2
pi-sa-wa-ta	N1	1
pi-ta-ke-u	N1	1
pi-wa-to	N1	1
pi-we-re	N1	1
pi-we-ri-ja-ta	N1	1
po	N1	4
po-i-te-u	N3	1
po-i-ti-jo	N3	1
po-ka	N3	1
po-ka-ro	N3	1
po-ke-we	N2	1
po-ki-te	N1	1
po-ko-ro	N2	2
po-ku-ta	N1	5
po-me	N3,N4	2
po-me-ne	N7	1
po-me-no	N7	1
po-qe-wi-ja-i	N1	1
po-ra-i	N1	1
po-ra-pi	N1	1
po-ro	N1,N3	2
po-ro-ko	N3,N5	2
po-ro-ko-re-te	N1	1
