word	count	n_docs
ti-nwa-si-jo	3	3
a-re-po-zo-o	3	3
te-re-ja-e	3	3
du-wo-u-pi	3	3
ra-ku-ro	3	3
te-te-re-u	3	3
pe-ki-ta	3	2
pi-ke-re-wo	3	2
e-sa-ro	3	3
po-so-re-ja	3	3
pe-qo-ta	3	2
a-ma-ru-ta	3	1
ko-na	3	3
o-po-ro-me-no	3	3
a3-ki-wa-ro	3	3
ka-ra-i	3	3
pi-ro-ta-wo	3	3
ku-da-ma-ro	3	3
we-da-ne-we	3	3
do-e-ro-i	3	2
a-ke-ti-ri-ja-i	3	3
pi-ri	3	3
e-ti-we	3	3
we-ja-re-pe	3	3
we-a-re-pe	3	2
pa-ki-ja-na-de	3	3
di-pi-si-jo-i	3	3
wa-na-se-wi-ja	3	2
wa-na-so-i	3	3
a-ro-pa	3	3
mo-re-u	3	3
po-so-ro	3	3
ma-no-u-ro	3	3
na-i-se-wi-jo	3	3
pe-ru-si-nu-wa	3	3
me-te-to	3	3
e-wi-te-wi-jo	3	3
e-re-u-te-ro	3	3
e-re-u-te-ro-se	3	3
pe-re-wo-te	3	2
no-pe-re-a2	3	3
we-je-ke-a2	3	3
to-qi-de	3	2
o-pi-ke-re-mi-ni-ja-pi	3	2
qe-ra-na	3	1
ko-ki-re-ja	3	3
e-ka-ma-pi	3	2
e-ne-wo-pe-za	3	2
e-re-pa-te-ja	3	2
ku-ru-so-qe	3	1
wa-o	3	3
ta-ra-nu-we	3	2
do-ra-qe	3	1
po-re-na-qe	3	1
ko-ri-a2-da-na	3	2
de-mi-ni-ja	3	3
ka-pi-ni-ja	3	1
pa-ke-te-re	3	3
wa-do-ta	3	3
mi-ra-ti-jo	3	3
de-u-ke-we	3	3
ra-ke-da-mi-ni-jo	3	3
a-ke-ne-u-si	3	3
te-ka-ta-si	3	3
e-pe-to-i	3	3
na-su-to	3	3
te-ra-wo	3	3
sa-sa-ma	3	2
pe-ke-u	3	3
mi-ta	3	3
ka-na-to	3	3
pu-ti	3	3
e-ri-nu	2	2
ra-ni	2	2
pe-ri-qo-ta-o	2	2
ku-ja-ro	2	2
ki-u-ro	2	2
si-ja-ma-to	2	2
a-qi-ru	2	1
pa-ta-re	2	2
wo-di-jo	2	2
pe-ri-ta	2	2
ra-wo-ti-jo	2	2
e-e-si	2	2
ka-ra-na-ta	2	2
ka-ti	2	2
ka-no	2	2
pe-re-ko	2	2
di-wi-ja	2	2
a-ku-di-ri-jo	2	2
